unify name,binance name,okex name
1INCH.BTC,1INCHBTC,
1INCH.BUSD,1INCHBUSD,
1INCH.ETH,,1INCH-ETH
1INCH.USDT,1INCHUSDT,1INCH-USDT
1INCHDOWN.USDT,1INCHDOWNUSDT,
1INCHUP.USDT,1INCHUPUSDT,
AAC.USDT,,AAC-USDT
AAVE.BKRW,AAVEBKRW,
AAVE.BNB,AAVEBNB,
AAVE.BTC,AAVEBTC,AAVE-BTC
AAVE.BUSD,AAVEBUSD,
AAVE.ETH,AAVEETH,AAVE-ETH
AAVE.USDT,AAVEUSDT,AAVE-USDT
AAVEDOWN.USDT,AAVEDOWNUSDT,
AAVEUP.USDT,AAVEUPUSDT,
ABT.BTC,,ABT-BTC
ABT.ETH,,ABT-ETH
ABT.USDT,,ABT-USDT
ACM.BTC,ACMBTC,
ACM.BUSD,ACMBUSD,
ACM.USDT,ACMUSDT,
ACT.BTC,,ACT-BTC
ACT.USDT,,ACT-USDT
ADA.AUD,ADAAUD,
ADA.BKRW,ADABKRW,
ADA.BNB,ADABNB,
ADA.BRL,ADABRL,
ADA.BTC,ADABTC,ADA-BTC
ADA.BUSD,ADABUSD,
ADA.ETH,ADAETH,ADA-ETH
ADA.EUR,ADAEUR,
ADA.GBP,ADAGBP,
ADA.PAX,ADAPAX,
ADA.RUB,ADARUB,
ADA.TRY,ADATRY,
ADA.TUSD,ADATUSD,
ADA.USDC,ADAUSDC,
ADA.USDT,ADAUSDT,ADA-USDT
ADADOWN.USDT,ADADOWNUSDT,
ADAUP.USDT,ADAUPUSDT,
ADX.BNB,ADXBNB,
ADX.BTC,ADXBTC,
ADX.ETH,ADXETH,
AE.BNB,AEBNB,
AE.BTC,AEBTC,AE-BTC
AE.ETH,AEETH,AE-ETH
AE.USDT,,AE-USDT
AERGO.BTC,AERGOBTC,AERGO-BTC
AERGO.BUSD,AERGOBUSD,
AERGO.USDT,,AERGO-USDT
AGI.BNB,AGIBNB,
AGI.BTC,AGIBTC,
AGI.ETH,AGIETH,
AION.BNB,AIONBNB,
AION.BTC,AIONBTC,
AION.BUSD,AIONBUSD,
AION.ETH,AIONETH,
AION.USDT,AIONUSDT,
AKRO.BTC,AKROBTC,
AKRO.USDT,AKROUSDT,
ALGO.BNB,ALGOBNB,
ALGO.BTC,ALGOBTC,ALGO-BTC
ALGO.BUSD,ALGOBUSD,
ALGO.PAX,ALGOPAX,
ALGO.TUSD,ALGOTUSD,
ALGO.USDC,ALGOUSDC,
ALGO.USDK,,ALGO-USDK
ALGO.USDT,ALGOUSDT,ALGO-USDT
ALICE.BTC,ALICEBTC,
ALICE.BUSD,ALICEBUSD,
ALICE.USDT,ALICEUSDT,
ALPHA.BNB,ALPHABNB,
ALPHA.BTC,ALPHABTC,ALPHA-BTC
ALPHA.BUSD,ALPHABUSD,
ALPHA.USDT,ALPHAUSDT,ALPHA-USDT
ALV.USDT,,ALV-USDT
AMB.BNB,AMBBNB,
AMB.BTC,AMBBTC,
AMB.ETH,AMBETH,
ANC.USDT,,ANC-USDT
ANKR.BNB,ANKRBNB,
ANKR.BTC,ANKRBTC,
ANKR.PAX,ANKRPAX,
ANKR.TUSD,ANKRTUSD,
ANKR.USDC,ANKRUSDC,
ANKR.USDT,ANKRUSDT,
ANT.BNB,ANTBNB,
ANT.BTC,ANTBTC,ANT-BTC
ANT.BUSD,ANTBUSD,
ANT.USDT,ANTUSDT,ANT-USDT
ANW.USDT,,ANW-USDT
API3.ETH,,API3-ETH
API3.USDT,,API3-USDT
APIX.USDT,,APIX-USDT
APM.USDT,,APM-USDT
APPC.BNB,APPCBNB,
